Код услуги,Количество
B03.069.003,1521
A09.05.026.005,1204
A01.30.009,1204
A02.12.002,1204
B01.047.005,1070
A09.05.023.007,919
A05.10.002.003,897
B01.069.013,822
B03.016.002,806
A12.26.005,707
B04.001.009,611
B01.047.006,513
B04.015.008,474
B04.015.007,472
B01.029.001,460
B01.031.004,455
A09.19.001,390
B03.016.003,383
B01.027.002,359
B04.064.002,328
A09.05.020,310
A09.05.023,309
B04.070.002,309
A09.05.017,308
A09.05.041,308
A09.05.021,308
A09.05.042,307
A06.09.006.001,302
A09.05.010,302
A06.09.006,300
B01.047.022.001,291
A13.30.007,291
B04.031.002,288
A09.05.023.006,285
B04.031.004,283
B01.023.001,281
B01.008.001,278
A09.05.022.004,257
B01.058.001,231
A09.05.026,229
A12.30.014,212
A12.05.027.010,211
A09.05.050,209
A12.05.027,208
B01.050.001,206
B01.015.001,201
B01.028.001,198
B01.050.002,191
B01.003.004.004,190
B01.031.016.001,172
B01.031.003,158
A12.07.003,156
A06.20.004,152
B04.029.007.002,148
B01.057.001,140
B01.057.002,139
A09.05.009,138
B01.053.001,137
B04.047.002.013,137
B01.001.002,136
B03.016.006,136
B04.023.015.002,135
A09.05.011,135
B04.035.004.002,133
B01.065.007.010,121
B01.026.002,118
B01.026.001,118
B04.028.003.002,117
B04.047.002.014,116
A05.10.002.001,116
A09.05.045,115
A12.05.001,113
B04.050.007.001,113
A26.06.082.002,110
B04.047.001.067,109
B04.010.002.002,109
A08.20.040,106
A16.07.002.009,103
B04.047.001.005,101
A09.05.018,96
B01.023.002,94
B01.029.002,93
B01.003.004.005,93
B04.047.001.085,92
B01.050.012,92
B01.015.002,91
B04.001.002,90
B01.027.009,89
A09.05.046,88
B04.058.003.001,86
A09.05.043,82
B04.047.004,81
A11.07.012,78
A12.05.005.011,77
A16.07.091,77
B04.001.007,76
A09.05.025,75
B01.064.004,75
A12.05.005.004,75
A09.05.177.002,74
B01.001.001,71
B01.065.003.010,69
B04.053.004.002,68
B01.058.002,67
A09.05.004,66
B01.050.009,65
B04.047.001.002,63
B01.050.006,62
B04.047.002.022,61
A05.07.001,61
B01.047.020,59
B04.031.006,59
B01.029.015,58
B04.001.005.001,57
B01.014.001,53
B01.014.002,53
B01.028.002,53
B01.023.006,52
A06.30.002,52
B04.046.005,52
B01.001.019,51
B04.008.004,51
A05.10.002.005,50
B04.047.011,49
B01.023.012,49
B01.067.001,49
B01.031.002,49
B01.027.001,49
A12.05.121,49
A25.07.001,48
A16.07.051,48
B01.057.010,47
B04.058.004,47
B01.065.008.010,47
B01.047.001,47
B04.008.002,46
B01.001.005,45
A16.07.002.002,43
B01.067.002,42
A09.05.028,42
B01.008.002,42
A16.07.002.004,41
B01.014.023,41
A16.07.001.001,40
B04.047.001.006,39
B04.047.001.010,39
B02.047.001,39
B01.063.001,38
B01.026.010,38
A04.28.001.004,37
A04.16.004.001,37
A26.19.011,36
B04.026.001.068,35
A16.07.095.001,35
B01.050.013,34
B01.008.006,34
A12.05.007.001,33
G24ST15.014,32
A11.07.027,31
B04.047.001.070,31
A16.07.009,30
B04.047.002.021,30
B03.016.010,30
B01.015.014,29
A09.05.130,29
B04.027.002,29
B04.029.007,29
B04.047.001.087,29
B01.065.001,28
A04.10.002,28
B04.026.001.005,27
B04.047.001.001,27
A04.16.001,27
B01.008.013,27
B04.026.002,27
B04.031.002.035,27
B01.065.004.010,26
B01.064.003,26
B01.031.014,26
B04.031.002.025,26
B04.031.002.030,26
B01.029.008,25
B04.031.002.037,25
A04.28.001,24
B01.053.002,23
B01.008.009,23
B04.026.001.002,23
B01.023.009,23
B01.047.001.012,23
B04.031.002.022,22
B01.028.011,22
B01.047.019,21
G24ST02.001,20
B01.028.005,20
A05.10.002.004,20
B01.053.013,19
B04.047.002.020,19
A16.07.030.001,19
B01.010.001,19
B04.031.002.031,19
B04.031.002.038,19
B01.058.013,19
B04.047.001.009,18
A16.07.008.001,18
B04.057.002,18
A09.05.193.003,18
A16.07.030.002,18
B04.047.009,17
G24ST23.004,17
A16.07.097,17
B04.047.001.071,17
A16.07.001.002,17
G24ST27.004,17
A16.07.010,17
B04.023.015,16
A16.07.030.003,16
B01.064.006,16
G24ST02.003,16
B01.001.009,16
A11.07.024,16
B01.008.007,16
B04.047.002.024,16
B04.050.002,15
A04.12.005.017,15
B04.047.001.068,15
B04.031.002.034,15
B04.031.002.011,15
B01.065.002,14
B04.026.002.020,14
B04.031.002.032,14
B04.031.002.040,14
B04.031.002.019,14
B04.047.002.032,14
A16.07.002.011,14
B04.026.001.086,14
A16.07.001.003,13
B04.031.002.042,13
A03.20.001,13
B04.047.001.086,13
B01.064.011.001,13
A03.16.001.031,13
G24ST20.006,12
B01.026.001.012,12
B01.031.010,12
B04.031.002.021,12
B04.031.002.029,12
B04.031.003,12
B02.047.003,12
B02.031.002,12
B02.047.002,12
A06.07.003,11
A04.22.004,11
B01.031.016,11
B04.031.002.026,11
B01.029.009,11
B04.065.004,11
B01.003.004.002,11
B04.031.002.033,10
G24ST30.001,10
G24ST32.015,10
A16.07.020.001,10
B04.028.003,10
A05.25.002,10
B04.031.002.023,10
B04.031.002.015,10
A08.05.008.002,10
B04.031.002.043,9
B04.026.001.006,9
G24ST29.013,9
B04.047.002.018,9
B01.031.001,9
B04.031.002.039,9
B04.028.002,9
A04.10.002.007,9
B04.031.002.013,9
A06.23.004,9
A04.20.001,9
A04.12.024,9
G24ST20.007,9
B04.047.003,9
A16.07.095.002,8
B01.067.004,8
B04.023.002,8
B04.015.028,8
B01.026.002.012,8
B04.031.002.041,8
B04.031.002.020,8
B04.031.002.017,8
B04.031.002.036,8
B01.010.002,8
B01.053.003,8
B04.031.002.018,8
B01.064.007.001,8
B04.031.002.012,8
A12.05.008,8
B02.031.003,8
G24ST31.003,8
G24ST15.012,8
G24ST27.010,8
G24ST38.001,8
A05.10.008.003,8
B04.026.002.014,7
A16.01.012,7
B04.026.001.071,7
B04.047.002.019,7
B04.026.003,7
B01.008.014,7
B04.031.002.010,7
B04.031.002.014,7
B04.026.001.010,7
G24ST27.005,7
A16.07.025.001,7
A22.07.002,7
G24ST30.014,7
A05.10.003,7
A16.08.002,7
B02.047.009,7
B01.001.004,6
B04.026.001.009,6
B04.047.001.069,6
G24ST27.008,6
B04.026.001.001,6
A04.12.015.002,6
A04.09.001,6
B04.047.002.017,6
B04.053.002,6
B01.026.011,6
B01.001.013,6
B01.023.013,6
B02.031.010,6
B04.031.002.016,6
G24ST15.010,6
G24ST27.011,6
A09.05.249.001,6
A09.05.080,6
B01.029.016,6
G24ST29.011,6
A16.14.009.002,6
G24ST32.021,6
A16.08.010,6
B01.031.006,6
A04.20.001.001,6
G24ST29.010,6
G24ST31.005,6
A03.16.001,5
A16.20.053,5
A16.03.022.002,5
B01.001.014,5
B04.070.003,5
B04.047.001.091,5
B04.026.001.087,5
A08.05.005.001,5
A12.05.009,5
G24ST04.004,5
G24ST30.011,5
A16.12.006.001,5
G24ST25.009,5
B04.029.002,5
B04.047.002.023,5
G24ST04.005,5
G24ST02.015,5
A16.30.001.002,4
G24ST14.002,4
B01.065.011,4
G24ST15.013,4
G24ST32.016,4
A16.30.079,4
B01.001.017,4
B04.026.002.013,4
B01.053.012,4
B01.031.013,4
B04.001.005,4
B01.010.007,4
B04.031.002.027,4
A16.07.002.001,4
B04.031.002.009,4
B01.001.011,4
A06.10.006,4
G24ST27.003,4
G24ST02.010,4
B01.025.001,4
G24ST12.002,4
G24ST35.002,4
A16.08.013,4
A16.03.022.006,4
G24ST32.020,4
B04.031.002.024,4
A16.28.050,4
B01.031.008,4
B04.050.007,4
G24ST02.007,4
B04.026.001.072,3
G24ST17.001,3
G24ST30.010,3
A16.30.004.012,3
B04.026.002.018,3
B01.026.009,3
A04.23.015,3
A16.20.063.017,3
A05.30.001,3
G24ST27.007,3
G24ST02.013,3
B04.031.002.008,3
B01.069.014,3
G24ST12.001,3
B01.058.004,3
G24ST16.005,3
G24ST27.012,3
G24ST30.002,3
G24ST31.002,3
G24ST34.001,3
G24ST13.004,3
A11.20.008,3
G24ST29.012,3
A16.03.022.007,3
A06.30.005,3
G24ST06.004,3
A16.30.001.001,3
A16.19.013,3
G24ST29.009,3
G24ST14.001,3
B04.026.001.088,3
A16.03.021,3
B04.065.006.010,3
B03.032.001,3
B04.031.002.007,3
A16.03.001,3
A11.28.012,3
G24ST05.001,3
B04.026.001.069,3
B01.026.001.013,3
G24ST15.016,3
A06.12.056,3
A16.03.034,3
A16.08.064,3
A16.14.020.006,3
A16.28.077,3
A06.30.036,3
A16.08.012,2
G24ST15.005,2
A16.30.002.002,2
A16.19.034,2
A23.07.001.001,2
A16.01.008.001,2
A16.01.004,2
B04.026.002.022,2
B04.047.002.031,2
B04.031.002.028,2
B01.047.014,2
B04.026.002.017,2
A16.07.058,2
A16.07.082.001,2
A17.07.003,2
G24ST12.011,2
A16.01.009,2
B04.058.003,2
B01.001.020,2
B01.058.003,2
G24ST31.018,2
A16.01.017,2
G24ST20.004,2
A16.08.009,2
G24ST27.001,2
A16.12.026,2
G24ST25.010,2
G24ST15.003,2
A16.30.017.003,2
B01.028.006,2
B01.058.014,2
B01.053.010,2
G24ST12.003,2
G24ST15.007,2
A16.08.017,2
G24ST27.006,2
B04.010.002,2
G24ST25.003,2
A16.28.050.001,2
G24ST31.014,2
A06.09.005.002,2
B02.047.011,2
B01.014.013,2
G24ST02.004,2
B01.001.006,2
A16.01.007,2
A16.20.004.001,2
G24ST20.005,2
A11.30.017,2
A16.20.005,2
A16.09.004,2
G24ST28.003,2
A11.28.011,2
G24ST32.004,2
A16.01.003.002,2
A16.07.080,2
A16.01.010,2
B04.064.002.001,2
A12.09.005,1
G24ST02.005,1
A16.25.011,1
A11.20.018,1
A16.28.052.001,1
G24ST16.004,1
A04.12.046,1
B04.047.002.016,1
B01.023.004,1
G24ST02.008,1
A11.28.007,1
A11.12.002,1
G24ST15.008,1
A25.24.001.002,1
G24ST31.012,1
A16.19.010.001,1
G24ST22.002,1
G24ST13.002,1
A05.10.004.001,1
B04.047.002.015,1
A16.07.002.003,1
A16.04.024.001,1
A16.03.028,1
G24ST30.004,1
A16.07.001,1
A16.16.009.001,1
A16.28.001.001,1
G24ST30.012,1
G24ST17.004,1
G24ST31.011,1
A04.12.002,1
G24ST12.007,1
G24ST35.001,1
G24ST34.004,1
A16.07.085,1
A16.28.072,1
A04.06.002,1
A16.28.084,1
A03.28.001,1
A16.30.017,1
G24ST04.001,1
A03.16.001.007,1
A16.07.011,1
A16.07.002.010,1
A16.07.002.012,1
A16.07.013,1
A16.07.008.002,1
A04.20.002,1
A16.18.022,1
G24ST35.008,1
A16.16.048,1
G24ST32.008,1
A03.16.001.012,1
B01.014.010,1
G24ST06.006,1
G24ST16.008,1
A16.24.003,1
A16.02.005,1
A04.12.003.001,1
A16.23.016,1
A16.03.033.002,1
A05.23.001.001,1
A05.23.002,1
G24ST04.003,1
A16.07.082,1
A23.07.001.002,1
A16.30.004.004,1
G24ST32.014,1
B04.026.002.021,1
B04.026.002.019,1
G24ST17.007,1
G24ST12.005,1
A16.19.019,1
A16.07.082.002,1
B04.001.006,1
A09.28.001,1
A16.20.054.002,1
A06.28.001,1
A12.09.020,1
B03.016.004,1
A12.09.005.010,1
B04.047.009.011,1
B01.047.002,1
A11.07.022,1
A16.08.004,1
G24ST29.002,1
A16.03.007.002,1
A16.12.004.009,1
A16.18.009.001,1
A16.30.032.001,1
G24ST31.016,1
A16.27.002,1
A16.08.018,1
A16.03.026,1
G24ST30.008,1
A16.21.003,1
A16.20.001.001,1
A16.03.058,1
G24ST18.001,1
A16.18.009,1
G24ST32.011,1
A16.18.019.001,1
A16.20.061.001,1
A16.20.061.002,1
A16.01.003.004,1
A16.21.009,1
G24ST30.006,1
A16.21.010,1
V792031021203,1
A16.12.020,1
B04.031.005,1
A16.30.004.011,1
G24ST36.004,1
A16.08.001,1
A25.30.036.002,1
G24ST15.015,1
A16.07.024,1
G24ST29.006,1
G24ST17.006,1
G24ST13.001,1
A11.08.004,1
A16.20.011.002,1
G24ST02.012,1
B01.047.018,1
B04.058.005,1
A16.01.005.005,1
A16.30.001,1
G24ST32.013,1
A16.02.009.004,1
A16.01.011,1
B04.040.002,1
B04.028.001,1
B01.063.002,1
A16.28.023,1
B01.015.003,1
G24ST20.003,1
G24ST34.005,1
G24ST16.003,1
G24ST29.008,1
A16.04.021,1
A16.19.008.001,1
B01.031.001.004,1
B04.027.001,1
